Requirement title,Mandatory / Optional,Full requirement,Control application,Control,Evidence title,Typical evidence,Category,Typical Location,Capabilities,Control status,Internal note,Recommended priority controls
OWASP LLM01: Prompt Injection,Mandatory,"Prompt Injection Vulnerability occurs when an attacker manipulates a large language model (LLM) through crafted inputs, causing the LLM to unknowingly execute the attacker's intentions. This can be done directly by ""jailbreaking"" the system prompt or indirectly through manipulated external inputs, potentially leading to data exfiltration, social engineering, and other issues.",Core - This should include:,"- Implement controls aligned to LLM01 (Prompt Injection) to prevent, detect, and mitigate this risk.",LLM01 Documentation: Prompt Injection controls and validation,"Policy, architecture/design artifacts, and test evidence demonstrating mitigation of LLM01 (Prompt Injection).",Technical Implementation,"Engineering Code, Security Documentation",Universal,,Sourced from frameworks/owas_top_10_llm/1_1/LLM01_PromptInjection.md,Prioritize validating control status: OWASP LLM Top 10 risk area
OWASP LLM02: Insecure Output Handling,Mandatory,"Insecure Output Handling refers specifically to insufficient validation, sanitization, and handling of the outputs generated by large language models before they are passed downstream to other components and systems. Since LLM-generated content can be controlled by prompt input, this behavior is similar to providing users indirect access to additional functionality.",Core - This should include:,"- Implement controls aligned to LLM02 (Insecure Output Handling) to prevent, detect, and mitigate this risk.",LLM02 Documentation: Insecure Output Handling controls and validation,"Policy, architecture/design artifacts, and test evidence demonstrating mitigation of LLM02 (Insecure Output Handling).",Technical Implementation,"Engineering Code, Security Documentation",Universal,,Sourced from frameworks/owas_top_10_llm/1_1/LLM02_InsecureOutputHandling.md,Prioritize validating control status: OWASP LLM Top 10 risk area
OWASP LLM03: Training Data Poisoning,Mandatory,"The starting point of any machine learning approach is training data, simply “raw text”. To be highly capable (e.g., have linguistic and world knowledge), this text should span a broad range of domains, genres and languages. A large language model uses deep neural networks to generate outputs based on patterns learned from training data.",Core - This should include:,"- Implement controls aligned to LLM03 (Training Data Poisoning) to prevent, detect, and mitigate this risk.",LLM03 Documentation: Training Data Poisoning controls and validation,"Policy, architecture/design artifacts, and test evidence demonstrating mitigation of LLM03 (Training Data Poisoning).",Technical Implementation,"Engineering Code, Security Documentation",Universal,,Sourced from frameworks/owas_top_10_llm/1_1/LLM03_TrainingDataPoisoning.md,Prioritize validating control status: OWASP LLM Top 10 risk area
OWASP LLM04: Model Denial of Service,Mandatory,"An attacker interacts with an LLM in a method that consumes an exceptionally high amount of resources, which results in a decline in the quality of service for them and other users, as well as potentially incurring high resource costs. Furthermore, an emerging major security concern is the possibility of an attacker interfering with or manipulating the context window of an LLM. This issue is becoming more critical due to the increasing use of LLMs in various applications, their intensive resource utilization, the unpredictability of user input, and a general unawareness among developers regarding this vulnerability. In LLMs, the context window represents the maximum length of text the model can manage, covering both input and output. It's a crucial characteristic of LLMs as it dictates the complexity of language patterns the model can understand and the size of the text it can process at any given time. The size of the context window is defined by the model's architecture and can differ between models.",Core - This should include:,"- Implement controls aligned to LLM04 (Model Denial of Service) to prevent, detect, and mitigate this risk.",LLM04 Documentation: Model Denial of Service controls and validation,"Policy, architecture/design artifacts, and test evidence demonstrating mitigation of LLM04 (Model Denial of Service).",Technical Implementation,"Engineering Code, Security Documentation",Universal,,Sourced from frameworks/owas_top_10_llm/1_1/LLM04_ModelDoS.md,Prioritize validating control status: OWASP LLM Top 10 risk area
OWASP LLM05: Supply-Chain Vulnerabilities,Mandatory,"The supply chain in LLMs can be vulnerable, impacting the integrity of training data, ML models, and deployment platforms. These vulnerabilities can lead to biased outcomes, security breaches, or even complete system failures. Traditionally, vulnerabilities are focused on software components, but Machine Learning extends this with the pre-trained models and training data supplied by third parties susceptible to tampering and poisoning attacks.",Core - This should include:,"- Implement controls aligned to LLM05 (Supply-Chain Vulnerabilities) to prevent, detect, and mitigate this risk.",LLM05 Documentation: Supply-Chain Vulnerabilities controls and validation,"Policy, architecture/design artifacts, and test evidence demonstrating mitigation of LLM05 (Supply-Chain Vulnerabilities).",Technical Implementation,"Engineering Code, Security Documentation",Universal,,Sourced from frameworks/owas_top_10_llm/1_1/LLM05_SupplyChainVulnerabilities.md,Prioritize validating control status: OWASP LLM Top 10 risk area
OWASP LLM06: Sensitive Information Disclosure,Mandatory,"LLM applications have the potential to reveal sensitive information, proprietary algorithms, or other confidential details through their output. This can result in unauthorized access to sensitive data, intellectual property, privacy violations, and other security breaches. It is important for consumers of LLM applications to be aware of how to safely interact with LLMs and identify the risks associated with unintentionally inputting sensitive data that may be subsequently returned by the LLM in output elsewhere.",Core - This should include:,"- Implement controls aligned to LLM06 (Sensitive Information Disclosure) to prevent, detect, and mitigate this risk.",LLM06 Documentation: Sensitive Information Disclosure controls and validation,"Policy, architecture/design artifacts, and test evidence demonstrating mitigation of LLM06 (Sensitive Information Disclosure).",Technical Implementation,"Engineering Code, Security Documentation",Universal,,Sourced from frameworks/owas_top_10_llm/1_1/LLM06_SensitiveInformationDisclosure.md,Prioritize validating control status: OWASP LLM Top 10 risk area
OWASP LLM07: Insecure Plugin Design,Mandatory,"LLM plugins are extensions that, when enabled, are called automatically by the model during user interactions. The model integration platform drives them, and the application may have no control over the execution, especially when the model is hosted by another party. Furthermore, plugins are likely to implement free-text inputs from the model with no validation or type-checking to deal with context-size limitations. This allows a potential attacker to construct a malicious request to the plugin, which could result in a wide range of undesired behaviors, up to and including remote code execution.",Core - This should include:,"- Implement controls aligned to LLM07 (Insecure Plugin Design) to prevent, detect, and mitigate this risk.",LLM07 Documentation: Insecure Plugin Design controls and validation,"Policy, architecture/design artifacts, and test evidence demonstrating mitigation of LLM07 (Insecure Plugin Design).",Technical Implementation,"Engineering Code, Security Documentation",Universal,,Sourced from frameworks/owas_top_10_llm/1_1/LLM07_InsecurePluginDesign.md,Prioritize validating control status: OWASP LLM Top 10 risk area
OWASP LLM08: Excessive Agency,Mandatory,An LLM-based system is often granted a degree of agency by its developer - the ability to interface with other systems and undertake actions in response to a prompt. The decision over which functions to invoke may also be delegated to an LLM 'agent' to dynamically determine based on input prompt or LLM output.,Core - This should include:,"- Implement controls aligned to LLM08 (Excessive Agency) to prevent, detect, and mitigate this risk.",LLM08 Documentation: Excessive Agency controls and validation,"Policy, architecture/design artifacts, and test evidence demonstrating mitigation of LLM08 (Excessive Agency).",Technical Implementation,"Engineering Code, Security Documentation",Universal,,Sourced from frameworks/owas_top_10_llm/1_1/LLM08_ExcessiveAgency.md,Prioritize validating control status: OWASP LLM Top 10 risk area
OWASP LLM09: Overreliance,Mandatory,"Overreliance can occur when an LLM produces erroneous information and provides it in an authoritative manner. While LLMs can produce creative and informative content, they can also generate content that is factually incorrect, inappropriate or unsafe. This is referred to as hallucination or confabulation. When people or systems trust this information without oversight or confirmation it can result in a security breach, misinformation, miscommunication, legal issues, and reputational damage.",Core - This should include:,"- Implement controls aligned to LLM09 (Overreliance) to prevent, detect, and mitigate this risk.",LLM09 Documentation: Overreliance controls and validation,"Policy, architecture/design artifacts, and test evidence demonstrating mitigation of LLM09 (Overreliance).",Technical Implementation,"Engineering Code, Security Documentation",Universal,,Sourced from frameworks/owas_top_10_llm/1_1/LLM09_Overreliance.md,Prioritize validating control status: OWASP LLM Top 10 risk area
OWASP LLM10: Model Theft,Mandatory,"This entry refers to the unauthorized access and exfiltration of LLM models by malicious actors or APTs. This arises when the proprietary LLM models (being valuable intellectual property), are compromised, physically stolen, copied or weights and parameters are extracted to create a functional equivalent. The impact of LLM model theft can include economic and brand reputation loss, erosion of competitive advantage, unauthorized usage of the model or unauthorized access to sensitive information contained within the model.",Core - This should include:,"- Implement controls aligned to LLM10 (Model Theft) to prevent, detect, and mitigate this risk.",LLM10 Documentation: Model Theft controls and validation,"Policy, architecture/design artifacts, and test evidence demonstrating mitigation of LLM10 (Model Theft).",Technical Implementation,"Engineering Code, Security Documentation",Universal,,Sourced from frameworks/owas_top_10_llm/1_1/LLM10_ModelTheft.md,Prioritize validating control status: OWASP LLM Top 10 risk area
