Requirement title,Mandatory / Optional,Full requirement,Control application,Control,Evidence title,Typical evidence,Category,Typical Location,Capabilities,Category,Typical Location,Capabilities,Type of change,Change - priority area,Change - control,Change - evidence title,Change - typical evidence,"Change - other (control type, category, typical location, capabilities)",Reasoning for change,Changelog specification
A001: Establish input data policy,Mandatory,"Establish and communicate AI input data policies covering how customer data is used for model training, inference processing, data retention periods, and customer data rights",Core - This should include:,"- Defining and communicating input data usage policies. Including specifying how customer data is used for inference and model training, establishing data retention periods, and documenting customer data rights.","A001.1 Documentation: Policy for input data ownership, usage and retention","Typically demonstrated by Terms of Service, Privacy Policy or Data Processing Agreement",Legal Policies,"Terms of Service, Privacy Policy, DPA",Universal,Legal Policies,"Terms of Service, Privacy Policy, DPA",Universal,Not changed,,,,,,,
A001: Establish input data policy,Mandatory,"Establish and communicate AI input data policies covering how customer data is used for model training, inference processing, data retention periods, and customer data rights",Core - This should include:,"- Implementing technical controls to enforce data retention and deletion policies. For example, automating data deletion based on retention schedules, using secure removal mechanisms, and managing data lifecycles.",A001.2 Config: Data retention implementation,"Implementation of automated deletion schedule or data lifecycle system - may include cron job or scheduled task deleting expired data, deletion script in Python/Bash with retention period logic, data lifecycle management tool configuration (e.g., AWS S3 lifecycle rules, database TTL settings), or deletion audit logs from database or storage system.",Technical Implementation,"Engineering Code, Engineering Practice",Universal,Technical Implementation,"Engineering Code, Engineering Practice",Universal,Changed existing (evidence language),,,,,,,
A001: Establish input data policy,Mandatory,"Establish and communicate AI input data policies covering how customer data is used for model training, inference processing, data retention periods, and customer data rights",Supplemental - This may include:,"- Documenting processes for handling end-user data subject rights. For example, handling requests for opt-in/opt-out rights, access, portability, or deletion of input data.",A001.3 Documentation: Data subject right processes,"May be included in DPA, GDPR appendix, External Privacy Policy or similar internal or external policies documenting processes for data handling",Legal Policies,"Data Processing Agreement, Privacy Policy",Universal,Legal Policies,"Data Processing Agreement, Privacy Policy",Universal,Not changed,,,,,,,
A002: Establish output data policy,Mandatory,"Establish AI output ownership, usage, opt-in/out and deletion policies to customers and communicate these policies",Core - This should include:,"- Establishing output ownership and usage rights policies. For example, specifying customer ownership of AI-generated outputs versus AI inputs, defining permitted uses of outputs (commercial use, redistribution, modification), documenting usage restrictions or limitations, and clarifying how ownership applies to different output types or use cases.
- Disclosing opt-in/opt-out and deletion policies for AI outputs. For example, documenting how customers can opt out of output storage or reuse, explaining deletion request processes, specifying retention periods and data handling practices, and clarifying how customers can control or revoke permissions for their outputs.",A002.1 Documentation: Output usage and ownership policy,"Typically demonstrated by Terms of Service, Data Processing Agreement, Master Service Agreement, Privacy Policy, or AI Addendum. May be a combination of these policies.",Legal Policies,Terms of Service,Universal,Legal Policies,Terms of Service,Universal,Changed existing (content),Other,,,,,"Included both opt-in and out practices, ensuring balanced coverage of consent models",Revision
A002: Establish output data policy,Mandatory,"Establish AI output ownership, usage, opt-in/out and deletion policies to customers and communicate these policies",Supplemental - This may include:,"- Implementing technical controls to enforce AI output opt-in/opt-out and deletion policies. For example, automating customer preference enforcement through consent management configuration, processing opt-out and deletion requests within defined workflows, and validating that opted-out outputs are excluded from storage and downstream reuse.",A002.2 Config: Opt-in/opt-out and output deletion implementation,"Implementation of opt-in/opt-out enforcement mechanism or output deletion workflow - may include consent management system enforcing customer preferences (e.g., feature flag gating output storage, consent database linked to processing pipeline), opt-out or deletion request processing script or automated task, or audit logs from consent and deletion systems with timestamps and execution records.",Technical Implementation,"Engineering Code, Engineering Practice",Universal,,,,New ,Other,,,,"Supplemental control
Category: Technical Implementation
Typical location: Engineering Code / Engineering Practice
Capabilities: Universal",Added new control to incorporate implementation testing to A002,Addition
A003: Limit AI agent data access,Mandatory,"Implement safeguards to limit AI agent data access based on task, user role, agent role and context",Core - This should include:,"Configuring data access limits to reduce data and privacy exposure. For example, limiting data access to task-relevant information based on context, implementing scoping based on user roles or workflow requirements, and avoiding persistent or out-of-scope data access.",A003.1 Config: Data access scoping,"Code implementing data access restrictions - may include RAG retrieval function with document filtering logic, session scoping configuration limiting data access per session ID, workflow conditional logic gating data collection by stage, permission decorators or middleware checking user roles before data access, or scoping functions rejecting out-of-scope queries with error messages.",Technical Implementation,Engineering Code,Universal,Technical Implementation,Engineering Code,Universal,Changed existing (content),Other,,,,,"Clarified the control to cover agent access and identity management, not just data collection",Clarification
A003: Limit AI agent data access,Mandatory,"Implement safeguards to limit AI agent data access based on task, user role, agent role and context",Supplemental - This may include:,- Deploying monitoring mechanisms. Including ensuring AI systems only perform necessary inference and logging deviations from defined operational scope.,A003.2 Config: Alerting system for auth failures,"Screenshot of code showing an alert or error handling system is triggered upon authz check failure, or screenshot of alerting configurations in logging software (e.g. Posthog, Sentry, Datadog, Axiom, or downstream alert in Slack)",Technical Implementation,Engineering Code,Universal,Technical Implementation,Engineering Code,Universal,Not changed,,,,,,,
A003: Limit AI agent data access,Mandatory,"Implement safeguards to limit AI agent data access based on task, user role, agent role and context",Supplemental - This may include:,"- Enabling agent identity management. For example, assigning each agent a unique, cryptographically verifiable identity; supporting standard identity federation protocols (e.g., OAuth 2.0, OIDC) for enterprise IAM integration; publishing agent cards declaring each agent's capabilities, tools, and permission scopes.
",A003.3 Config: Agent identity management,"Documentation showing how identity governance is enabled - may include platform configuration showing unique, cryptographically verifiable identity assignment per agent instance, API or SDK documentation for identity federation endpoints (e.g., OIDC token exchange), or a sample agent card declaring agent capabilities and scopes.
",Technical Implementation,Engineering Code,Universal,Technical Implementation,Engineering Code,Universal,Changed existing (content),Agent IAM,,,,"Supplemental control
Category: Technical Implementation
Typical location: Engineering Tooling
Capabilities: Universal","Separated agent identity and access management into distinct controls, with a focus on providing configurable, auditable architecture that integrates with enterprise IAM systems",Revision
A003: Limit AI agent data access,Mandatory,"Implement safeguards to limit AI agent data access based on task, user role, agent role and context",Supplemental - This may include:,"- Enabling agent access and governance through permission-ready architecture. For example, exposing per-agent permission scopes mappable to enterprise roles; supporting just-in-time permissions scoped to specific subtasks; preventing silent inheritance of elevated permissions from orchestrators or parent agents; enforcing segregation of duties across systems; and integrating data loss prevention controls on agent actions and tool calls.",A003.4 Config: Agent access and permissions management,"Documentation showing how permission governance is enabled - may include API or SDK documentation for permission scope configuration mappable to RBAC or ABAC policies, platform settings or code demonstrating just-in-time credential issuance scoped to individual subtasks or tool calls, architecture documentation showing how inherited permission chains from orchestrators or parent agents are bounded or surfaced for review, a segregation of duties matrix identifying and preventing conflicting agent permission combinations across integrated systems, or DLP policy configuration showing inspection and blocking rules applied to outbound data transmitted through agent actions or tool calls.",Technical Implementation,Engineering Code,Universal,,,,New ,Agent IAM,,,,"Supplemental control
Category: Technical Implementation
Typical location: Engineering Code
Capabilities: Universal","Separated agent identity and access management into distinct controls, with a focus on providing configurable, auditable architecture",Addition
A004: Protect IP & trade secrets,Mandatory,Implement safeguards or technical controls to prevent AI systems from leaking company intellectual property or confidential information,Core - This should include:,"- Providing user guidance on protecting confidential information. For example, instructing employees not to input trade secrets, proprietary code, or confidential business information into AI systems, communicating data handling policies for AI tool usage, or establishing clear guidelines on what information can and cannot be shared with AI agents.",A004.1 Documentation: User guidance on confidential information,"Policy document, training materials, or user guidelines instructing users on protecting confidential information when using AI systems.",Technical Implementation,Product,Universal,Technical Implementation,Product,Universal,Not changed,,,,,,,
